borrowers_id,borrower,financier,goal,impagency,url,projectid
1,"GOVERNMENT OF HONDURAS",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP",,http://projects.worldbank.org/P152057/null?lang=en,804
2,,IDAD3810;IDAD3810,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP",,http://projects.worldbank.org/P159378/null?lang=en,194
3,,IDA62170;IDA62170,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG",,http://projects.worldbank.org/P160442/null?lang=en,508
4,"REPUBLIC OF ZAMBIA",IDA61360;IDA61360,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG",,http://projects.worldbank.org/P158570/null?lang=en,936
5,,IDA61040;IDA61040,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Millennium Development Goals;GPG|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP",,http://projects.worldbank.org/P160250/null?lang=en,902
6,"FEDERAL MINISTRY OF FINANCE",IDA60950;IDA60950;IDA60960,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","FEDERAL MINISTRY OF EDUCATION",http://projects.worldbank.org/P160430/null?lang=en,113
7,"KINGDOM OF CAMBODIA",IDA59780;IDA59780,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","MINISTRY OF EDUCATION YOUTH AND SPORT",http://projects.worldbank.org/P157858/null?lang=en,768
8,"MINISTRY OF FINANCE",IDA59710;IDA59710,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P160748/null?lang=en,551
9,,IBRD87210;IBRD87210,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG",,http://projects.worldbank.org/P160309/null?lang=en,520
10,"MINISTRY OF FINANCE",IBRD87090;IBRD87090,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND SCIENCE",http://projects.worldbank.org/P153496/null?lang=en,234
11,,,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG",,http://projects.worldbank.org/P160090/null?lang=en,497
12,,IBRD86750;IBRD86750,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG",,http://projects.worldbank.org/P159771/null?lang=en,456
13,"PEOPLE'S REPUBLIC OF CHINA",IBRD86710;IBRD86710,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","YUNNAN PROVINCE",http://projects.worldbank.org/P152860/null?lang=en,934
