countrycode,countryname
1,Afghanistan
2,Algeria
3,Angola
4,Argentina
5,Armenia
6,Bangladesh
7,Barbados
8,Belarus
9,Belize
10,Benin
11,Bhutan
12,"Bosnia and Herzegovina"
13,Brazil
14,"Burkina Faso"
15,Burundi
16,Cambodia
17,Cameroon
18,"Central African Republic"
19,Chad
20,Chile
21,Colombia
22,Comoros
23,Congo
24,"Costa Rica"
25,Cuba
26,"Côte d'Ivoire"
27,"Democratic People's Republic of Korea"
28,"Democratic Republic of the Congo"
29,"Dominican Republic"
30,Ecuador
31,Egypt
32,"El Salvador"
33,Eswatini
34,Ethiopia
35,Gabon
36,Gambia
37,Georgia
38,Ghana
39,Guatemala
40,Guinea
41,Guinea-Bissau
42,Guyana
43,Haiti
44,Honduras
45,India
46,Indonesia
47,Iraq
48,Jamaica
49,Jordan
50,Kazakhstan
51,Kenya
52,Kyrgyzstan
53,"Lao People's Democratic Republic"
54,Lesotho
55,Liberia
56,Madagascar
57,Malawi
58,Maldives
59,Mali
60,Mauritania
61,Mexico
62,Mongolia
63,Montenegro
64,Mozambique
65,Myanmar
66,Namibia
67,Nepal
68,Niger
69,Nigeria
70,"North Macedonia"
71,Pakistan
72,Panama
73,Paraguay
74,Peru
75,Philippines
76,Qatar
77,"Republic of Moldova"
78,Rwanda
79,"Saint Lucia"
80,"Sao Tome and Principe"
81,Senegal
82,Serbia
83,"Sierra Leone"
84,"South Africa"
85,"South Sudan"
86,"State of Palestine"
87,Sudan
88,Suriname
89,Tajikistan
90,Thailand
91,Timor-Leste
92,Togo
93,Tunisia
94,Turkmenistan
95,Uganda
96,Ukraine
97,"United Republic of Tanzania"
98,Uruguay
99,"Viet Nam"
100,Yemen
101,Zambia
102,Zimbabwe
103,Azerbaijan
104,Botswana
105,China
106,Djibouti
107,Eritrea
108,"Iran (Islamic Republic of)"
109,Kiribati
110,Nauru
111,Niue
112,Oman
113,Romania
114,"Solomon Islands"
115,Tonga
116,Turkey
117,Vanuatu
118,Albania
119,"Trinidad and Tobago"
120,"American Samoa"
121,Anguilla
122,Aruba
123,Bahrain
124,"Bolivia (Plurinational State of)"
125,"Brunei Darussalam"
126,Bulgaria
127,"Cabo Verde"
128,"Cayman Islands"
129,Croatia
130,Cyprus
131,"Equatorial Guinea"
132,Estonia
133,Fiji
134,"French Guiana"
135,Greece
136,Grenada
137,Guadeloupe
138,Guam
139,Hungary
140,Israel
141,Italy
142,Kuwait
143,Latvia
144,Lebanon
145,Libya
146,Lithuania
147,Macao
148,Malaysia
149,Malta
150,"Marshall Islands"
151,Martinique
152,Mauritius
153,Morocco
154,"New Caledonia"
155,Nicaragua
156,Palau
157,"Papua New Guinea"
158,Poland
159,Portugal
160,"Puerto Rico"
161,"Russian Federation"
162,Réunion
163,"Saint Vincent and the Grenadines"
164,Samoa
165,"San Marino"
166,"Saudi Arabia"
167,Seychelles
168,Singapore
169,Slovenia
170,Somalia
171,Spain
172,"Sri Lanka"
173,"Syrian Arab Republic"
174,"United Arab Emirates"
175,Uzbekistan
176,"Venezuela (Bolivarian Republic of)"
