dates_id,board_approval_month,boardapprovalyear,closingdatemonth,closingdateyear,projectid
1,April,2019,6,2023,804
2,September,2018,12,2023,194
3,March,2018,12,2023,508
4,August,2017,12,2024,936
5,June,2017,6,2024,902
6,June,2017,10,2022,113
7,April,2017,7,2022,768
8,March,2017,7,2021,551
9,March,2017,3,2022,520
10,March,2017,12,2022,234
11,February,2017,8,2021,497
12,December,2016,5,2022,456
13,December,2016,12,2021,934
14,September,2016,2,2023,686
15,August,2016,12,2020,511
16,July,2016,9,2019,844
17,June,2016,7,2021,864
18,June,2016,12,2019,199
21,June,2016,12,2021,604
22,May,2016,6,2021,498
23,April,2016,6,2022,152
24,February,2016,6,2022,608
25,December,2015,12,2020,610
26,December,2015,7,2017,58
27,November,2015,12,2016,122
29,October,2015,12,2021,848
30,September,2015,9,2022,846
31,September,2015,12,2020,483
32,September,2015,2,2017,273
33,August,2015,7,2017,827
35,July,2015,8,2019,396
36,June,2015,6,2021,200
37,May,2015,4,2020,929
38,May,2015,9,2018,416
39,May,2015,12,2020,460
40,May,2015,12,2021,482
41,May,2015,6,2020,558
42,April,2015,12,2020,746
43,April,2015,12,2017,789
44,March,2015,6,2021,413
45,March,2015,11,2018,338
46,February,2015,9,2019,858
48,December,2014,12,2020,41
49,October,2014,12,2018,521
50,October,2014,12,2018,522
51,October,2014,12,2019,453
52,August,2014,3,2020,895
53,July,2014,12,2019,785
54,July,2014,1,2021,863
56,May,2014,11,2021,411
57,May,2014,2,2018,459
58,May,2014,7,2017,130
59,April,2014,12,2020,204
60,April,2014,6,2018,485
61,March,2014,10,2018,562
62,March,2014,4,2018,112
63,March,2014,12,2018,496
64,March,2014,6,2018,19
65,February,2014,6,2019,119
66,February,2014,11,2018,516
67,December,2013,9,2015,891
69,November,2013,1,2019,826
70,November,2013,12,2019,356
71,October,2013,12,2017,350
72,September,2013,3,2014,492
73,September,2013,2,2021,37
74,September,2013,9,2017,412
75,June,2013,10,2020,137
76,June,2013,6,2018,701
77,May,2013,4,2014,737
78,May,2013,12,2017,514
80,May,2013,2,2017,935
81,April,2013,11,2017,303
82,March,2013,2,2019,833
83,March,2013,6,2020,557
84,March,2013,12,2018,600
85,March,2013,6,2019,780
86,February,2013,6,2017,918
87,January,2013,4,2022,524
88,January,2013,3,2018,86
89,November,2012,5,2016,919
90,October,2012,12,2020,49
91,September,2012,5,2017,845
92,June,2012,7,2017,118
93,June,2012,6,2017,330
94,June,2012,9,2019,661
95,June,2012,7,2015,394
96,June,2012,8,2014,484
97,May,2012,6,2013,393
99,May,2012,12,2019,687
101,April,2012,8,2017,126
102,March,2012,6,2017,461
103,March,2012,6,2017,527
105,March,2012,9,2012,363
106,March,2012,11,2013,753
107,March,2012,3,2013,609
108,February,2012,12,2015,176
109,February,2012,6,2015,526
110,February,2012,10,2014,523
111,November,2011,6,2012,940
112,August,2011,12,2017,64
113,July,2011,10,2014,712
114,June,2011,10,2013,450
115,May,2011,3,2012,607
116,May,2011,12,2011,754
117,April,2011,12,2011,502
118,April,2011,12,2019,507
119,March,2011,3,2016,457
121,March,2011,12,2012,361
122,March,2011,12,2011,362
123,March,2011,12,2015,679
124,February,2011,3,2011,110
125,February,2011,6,2016,912
126,January,2011,12,2014,595
127,January,2011,6,2016,380
128,December,2010,12,2016,892
129,November,2010,11,2011,748
131,October,2010,7,2015,455
132,October,2010,3,2013,655
133,September,2010,10,2014,852
134,August,2010,10,2016,414
135,August,2010,6,2017,117
136,August,2010,12,2011,324
137,July,2010,6,2013,594
138,June,2010,4,2015,189
140,June,2010,5,2012,917
141,June,2010,6,2019,866
142,June,2010,6,2015,665
143,June,2010,6,2014,728
144,June,2010,3,2011,373
146,June,2010,12,2010,503
149,May,2010,6,2016,820
150,May,2010,12,2010,725
152,April,2010,6,2013,360
153,March,2010,6,2014,150
155,March,2010,3,2014,16
156,March,2010,12,2013,188
160,October,2009,6,2010,224
161,September,2009,8,2013,320
162,August,2009,9,2013,872
163,July,2009,9,2014,781
164,July,2009,6,2012,847
165,June,2009,12,2009,364
167,June,2009,6,2012,601
169,May,2009,12,2016,740
170,May,2009,3,2010,715
171,May,2009,11,2011,2
172,May,2009,5,2013,87
173,April,2009,12,2012,365
174,April,2009,6,2011,409
175,March,2009,7,2014,618
176,March,2009,5,2012,425
177,January,2009,12,2009,370
178,January,2009,6,2011,727
179,January,2009,6,2010,310
180,December,2008,12,2011,842
181,December,2008,12,2013,404
182,December,2008,9,2010,861
183,November,2008,6,2013,454
185,October,2008,3,2015,135
186,October,2008,12,2012,56
187,September,2008,12,2016,745
188,September,2008,9,2012,786
