money_id,grantamt,ibrdcommamt,idacommamt,lendprojectcost,totalamt,projectid
1,0,0,30000000,30000000,30000000,804
2,0,0,100000000,298000000,100000000,194
3,0,0,55000000,100700000,55000000,508
4,0,0,60000000,204000000,60000000,936
5,0,0,200000000,787590000,200000000,902
6,0,0,611000000,611000000,611000000,113
7,0,0,40000000,40900000,40000000,768
9,0,130000000,0,130000000,130000000,520
10,0,67000000,0,77000000,67000000,234
11,2100000,0,0,2100000,0,497
12,0,40000000,0,59000000,40000000,456
13,0,50000000,0,74620000,50000000,934
14,0,0,100000000,234000000,100000000,686
15,44900000,0,0,44900000,0,511
16,2000000,0,0,2000000,0,844
17,0,0,35000000,35000000,35000000,864
18,3000000,0,0,3000000,0,199
19,950000,0,0,950000,0,696
20,0,0,100000000,100000000,100000000,560
21,0,300000000,0,300000000,300000000,604
22,0,0,25000000,25000000,25000000,498
23,0,0,30000000,70000000,30000000,152
24,0,450000000,0,455200000,450000000,608
25,0,120000000,0,1133690000,120000000,610
26,0,150000000,0,150000000,150000000,58
27,0,100000000,0,100000000,100000000,122
28,3000000,0,0,3000000,0,27
29,0,178000000,0,201000000,178000000,848
30,0,50000000,0,50000000,50000000,846
31,0,0,11000000,11000000,11000000,483
32,1000000,0,0,1000000,0,273
33,370000,0,0,370000,0,827
34,0,0,50000000,107900000,50000000,529
35,38800000,0,0,51800000,0,396
36,0,0,50000000,50000000,50000000,200
37,0,50000000,0,102680000,50000000,929
38,1700000,0,0,1700000,0,416
39,0,0,250000000,357000000,250000000,460
40,88400000,0,0,88400000,0,482
41,100000000,0,0,100000000,0,558
42,16800000,0,0,16800000,0,746
44,34000000,0,0,34000000,0,413
45,32000000,0,0,32000000,0,338
46,27800000,0,0,27800000,0,858
47,0,0,400000000,400000000,400000000,6
48,0,250500000,0,250500000,250500000,41
49,0,150000000,0,150000000,150000000,521
50,0,350000000,0,819950000,350000000,522
51,49900000,0,0,49900000,0,453
52,100000000,0,0,100000000,0,895
53,25300000,0,0,21310000,0,785
54,0,0,122000000,416000000,122000000,863
55,0,0,3500000,3500000,3500000,721
56,0,0,156000000,156000000,156000000,411
58,38500000,0,0,38500000,0,130
59,0,0,28000000,28000000,28000000,204
60,12700000,0,0,16270000,0,485
61,15000000,0,0,18000000,0,562
62,42300000,0,0,42300000,0,112
63,0,300000000,0,300000000,300000000,496
64,3800000,0,0,3800000,0,19
65,53300000,0,0,55800000,0,119
66,12400000,0,0,12400000,0,516
67,0,300750000,0,300750000,300750000,891
68,0,0,265000000,280000000,265000000,776
69,0,350000000,0,350000000,350000000,826
70,0,0,130000000,550000000,130000000,356
71,85400000,0,0,85400000,0,350
72,0,0,20000000,20000000,20000000,492
73,0,0,75000000,80000000,75000000,37
74,16200000,0,0,16200000,0,412
75,0,0,15000000,15000000,15000000,137
76,0,16200000,0,32400000,16200000,701
77,0,100000000,0,100000000,100000000,737
78,41700000,0,0,41700000,0,514
79,0,0,100000000,1718300000,100000000,552
80,100000000,0,0,100000000,0,935
81,51900000,0,0,51900000,0,303
82,76500000,0,0,76500000,0,833
83,0,0,150000000,1342000000,150000000,557
85,0,0,16500000,16500000,16500000,780
86,0,0,100000000,100000000,100000000,918
87,0,0,40000000,40000000,40000000,524
88,0,25000000,0,183000000,25000000,86
89,84600000,0,0,84600000,0,919
90,0,0,130000000,137500000,130000000,49
91,0,40000000,0,73800000,40000000,845
92,0,0,60000000,100000000,60000000,118
93,0,200000000,0,200000000,200000000,330
94,0,0,25000000,25000000,25000000,661
95,2800000,0,0,2800000,0,394
96,1650000,0,0,1650000,0,484
97,0,0,6000000,6000000,6000000,393
98,2970000,0,0,2970000,0,860
99,0,130000000,0,921600000,130000000,687
100,0,0,40000000,40000000,40000000,506
101,41400000,0,0,41400000,0,126
103,2460000,0,0,2460000,0,527
104,0,0,1000000,1000000,1000000,676
105,35000000,0,0,35000000,0,363
106,0,300750000,0,300750000,300750000,753
107,0,350000000,0,350000000,350000000,609
108,2860000,0,0,2860000,0,176
109,10000000,0,0,12120000,0,526
110,4400000,0,0,4400000,0,523
111,290000,0,0,290000,0,940
113,3400000,0,0,3400000,0,712
114,670000,0,0,670000,0,450
115,0,250000000,0,250000000,250000000,607
116,0,700000000,0,700000000,700000000,754
117,0,0,70000000,70000000,70000000,502
118,0,0,71000000,161000000,71000000,507
119,1830000,0,0,1830000,0,457
121,6000000,0,0,6000000,0,361
122,45000000,0,0,45000000,0,362
123,19200000,0,0,19200000,0,679
124,20000000,0,0,20000000,0,110
125,3000000,0,0,3000000,0,912
126,0,0,250000000,285000000,250000000,595
127,0,0,5000000,6000000,5000000,380
128,0,0,5000000,5000000,5000000,892
129,0,150000000,0,150000000,150000000,748
130,3000000,0,0,3000000,0,345
131,0,0,4200000,5120000,4200000,455
132,4000000,0,0,4000000,0,655
133,45000000,0,0,45000000,0,852
134,40000000,0,0,40000000,0,414
