observationcode,obs_value,observationstatus,data_source
1,34.1,Adjusted,"DHS 2015"
2,38.5,Adjusted,"DHS 2015"
3,29.3,Adjusted,"DHS 2015"
4,71.4,Adjusted,"MICS 2012-13"
5,69.8,Adjusted,"MICS 2012-13"
6,68.3,Adjusted,"MICS 2012-13"
7,55.1,Adjusted,"DHS 2015-16"
8,52.9,Adjusted,"DHS 2015-16"
9,50.5,Adjusted,"DHS 2015-16"
10,89.2,Adjusted,"MICS 2011-12"
11,89,Adjusted,"MICS 2011-12"
12,88.8,Adjusted,"MICS 2011-12"
13,61.5,Adjusted,"DHS 2015-16"
14,64.8,Adjusted,"DHS 2015-16"
15,58.9,Adjusted,"DHS 2015-16"
16,76.1,Adjusted,"MICS 2019"
17,77.4,Adjusted,"MICS 2019"
18,78.8,Adjusted,"MICS 2019"
19,63.1,Adjusted,"MICS 2012"
20,72.2,Adjusted,"MICS 2012"
21,67.5,Adjusted,"MICS 2012"
22,94,Adjusted,"MICS 2012"
23,91.9,Adjusted,"MICS 2012"
24,96,Adjusted,"MICS 2012"
25,25.7,Adjusted,"MICS 2011"
26,26.2,Adjusted,"MICS 2011"
27,26.6,Adjusted,"MICS 2011"
28,49.1,Adjusted,"DHS 2017-18"
29,48.1,Adjusted,"DHS 2017-18"
30,47,Adjusted,"DHS 2017-18"
31,47.2,Adjusted,"MICS 2010"
32,54.4,Adjusted,"MICS 2010"
33,50.8,Adjusted,"MICS 2010"
34,20.4,Adjusted,"MICS 2011-12"
35,15.8,Adjusted,"MICS 2011-12"
36,18.2,Adjusted,"MICS 2011-12"
37,96.5,Adjusted,"Continuous National Household Sample Survey (PNAD Contínua) 2018"
38,96.4,Adjusted,"Continuous National Household Sample Survey (PNAD Contínua) 2018"
39,96.2,Adjusted,"Continuous National Household Sample Survey (PNAD Contínua) 2018"
40,15,Adjusted,"DHS 2010"
41,16.6,Adjusted,"DHS 2010"
42,13.5,Adjusted,"DHS 2010"
43,37.1,Adjusted,"DHS 2016-17"
44,39.8,Adjusted,"DHS 2016-17"
45,38.4,Adjusted,"DHS 2016-17"
46,79.6,Adjusted,"DHS 2014"
47,75.5,Adjusted,"DHS 2014"
48,71.8,Adjusted,"DHS 2014"
49,69.4,Adjusted,"MICS 2014"
50,68.8,Adjusted,"MICS 2014"
51,69.9,Adjusted,"MICS 2014"
52,41.5,Adjusted,"MICS 2010"
53,43.2,Adjusted,"MICS 2010"
54,39.6,Adjusted,"MICS 2010"
55,15.2,Adjusted,"DHS 2014-15"
56,12.6,Adjusted,"DHS 2014-15"
57,13.9,Adjusted,"DHS 2014-15"
58,96.9,Adjusted,"CASEN 2017"
59,95.8,Adjusted,"CASEN 2017"
60,96.3,Adjusted,"CASEN 2017"
61,98.2,Adjusted,"DHS 2015"
62,63.6,Adjusted,"DHS 2012"
63,68.2,Adjusted,"DHS 2012"
64,66.1,Adjusted,"DHS 2012"
65,77.4,Adjusted,"MICS 2014-15"
66,76.7,Adjusted,"MICS 2014-15"
67,76,Adjusted,"MICS 2014-15"
68,90.5,Adjusted,"MICS 2011"
69,92.3,Adjusted,"MICS 2011"
70,91.4,Adjusted,"MICS 2011"
71,97.9,Adjusted,"MICS 2014"
72,99.9,Adjusted,"MICS 2014"
73,95.2,Adjusted,"MICS 2014"
74,48,Adjusted,"MICS 2016"
75,47.6,Adjusted,"MICS 2016"
76,48.5,Adjusted,"MICS 2016"
77,97.9,Adjusted,"MICS 2017"
78,96.3,Adjusted,"MICS 2017"
79,97.1,Adjusted,"MICS 2017"
80,53.5,Adjusted,"DHS 2013-14"
81,54.6,Adjusted,"DHS 2013-14"
82,55.9,Adjusted,"DHS 2013-14"
