dates_id,board_approval_month,boardapprovalyear,closingdatemonth,closingdateyear,projectid,projectid,envassesmentcategorycode,goal,lendinginstr,lendinginstrtype,prodline,project_name,status,supplementprojectflg,regioncode,regioncode,regionname,countrycode,countrycode,countryname
509,January,2008,12,2017,29,29,B,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Investment Project Financing",IN,PE,"Afghanistan - Second Education Quality Improvement Program",Closed,N,2,2,"South Asia",1,1,Afghanistan
667,May,2013,6,2021,30,30,B,"Corporate Advocacy Priorities|Global Public Goods Priorities;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Investment Project Financing",IN,PE,"Afghanistan - Second Skills Development Project",Active,N,2,2,"South Asia",1,1,Afghanistan
2,September,2018,12,2023,194,194,B,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Investment Project Financing",IN,PE,EQRA,Active,N,2,2,"South Asia",1,1,Afghanistan
267,July,2004,3,2010,255,255,B,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Emergency Recovery Loan",IN,PE,"Education Quality Improvement Program",Closed,N,2,2,"South Asia",1,1,Afghanistan
61,March,2014,10,2018,562,562,B,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","Investment Project Financing",IN,RE,"Non-Formal Approach to Training Education and Jobs in Afghanistan Project",Closed,N,2,2,"South Asia",1,1,Afghanistan
380,March,1993,3,2001,44,44,C,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP","Sector Investment and Maintenance Loan",IN,PE,"BASIC & SECONDARY EDUCATION SUPPORT PROJECT",Closed,N,3,3,"Middle East and North Africa",2,2,Algeria
518,May,2007,5,2013,12,12,B,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Emergency Recovery Loan",IN,PE,"ANGOLA EMERGENCY MULTI-SECTOR RECOVERY - PHASE 2",Closed,N,5,5,"Africa East",3,3,Angola
726,February,2005,2,2011,13,13,B,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities|Millennium Development Goals;GPG|CAP|MDG;Corporate Advocacy Priorities;CAP","Emergency Recovery Loan",IN,PE,"AO-Emerg MS Recovery ERL (FY05)",Closed,N,5,5,"Africa East",3,3,Angola
73,September,2013,2,2021,37,37,C,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Investment Project Financing",IN,PE,"Angola Learning for All Project",Active,N,5,5,"Africa East",3,3,Angola
637,June,1992,9,1999,240,240,C,"Corporate Advocacy Priorities|Global Public Goods Priorities;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Specific Investment Loan",IN,PE,"Education Project (01)",Closed,N,5,5,"Africa East",3,3,Angola
214,June,2007,12,2013,15,15,C,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities;CAP","Specific Investment Loan",IN,PE,"AR Lifelong Learning Project",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
155,March,2010,3,2014,16,16,B,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Millennium Development Goals|Corporate Advocacy Priorities;MDG|CAP;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP","Specific Investment Loan",IN,PE,"AR San Juan SWAP",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
352,December,1995,4,2004,17,17,C,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Specific Investment Loan",IN,PE,"AR-Decentralization & Improvement  of Secondary Educ. & Polymodal Education Development Project",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
719,December,2005,12,2013,40,40,B,"Corporate Advocacy Priorities|Global Public Goods Priorities;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Specific Investment Loan",IN,PE,"Argentina Rural Education Improvement Project - PROMER",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
48,December,2014,12,2020,41,41,B,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","Investment Project Financing",IN,PE,"Argentina Second Rural Education Improvement Project - PROMER-II",Active,N,7,7,"Latin America and Caribbean",4,4,Argentina
