observablecode,countrycode,indicatorcode,observationcode,timecode,countrycode,countryname
1,1,1,1,1,1,Afghanistan
2,1,2,2,1,1,Afghanistan
3,1,3,3,1,1,Afghanistan
307,1,4,299,1,1,Afghanistan
308,1,5,300,1,1,Afghanistan
309,1,6,301,1,1,Afghanistan
656,1,7,599,1,1,Afghanistan
657,1,8,600,1,1,Afghanistan
658,1,9,601,1,1,Afghanistan
968,1,10,885,1,1,Afghanistan
969,1,11,886,1,1,Afghanistan
970,1,12,887,1,1,Afghanistan
1274,1,13,1180,1,1,Afghanistan
1275,1,14,1181,1,1,Afghanistan
1276,1,15,1182,1,1,Afghanistan
1589,1,16,1477,1,1,Afghanistan
1590,1,17,1478,1,1,Afghanistan
1591,1,18,1479,1,1,Afghanistan
1904,1,19,1781,1,1,Afghanistan
1905,1,20,1782,1,1,Afghanistan
1906,1,21,1783,1,1,Afghanistan
2225,1,22,2077,1,1,Afghanistan
2226,1,23,2078,1,1,Afghanistan
2227,1,24,2079,1,1,Afghanistan
2540,1,25,2366,1,1,Afghanistan
2541,1,26,2367,1,1,Afghanistan
2542,1,27,2368,1,1,Afghanistan
2855,1,28,2658,1,1,Afghanistan
2856,1,29,2659,1,1,Afghanistan
2857,1,30,2660,1,1,Afghanistan
3188,1,31,2918,20,1,Afghanistan
3189,1,31,2919,20,1,Afghanistan
3190,1,31,2920,20,1,Afghanistan
3191,1,32,2921,20,1,Afghanistan
3192,1,32,2922,20,1,Afghanistan
3193,1,32,2923,20,1,Afghanistan
3194,1,33,2924,20,1,Afghanistan
3195,1,33,2925,20,1,Afghanistan
3196,1,33,2926,20,1,Afghanistan
4,2,3,4,2,2,Algeria
5,2,1,5,2,2,Algeria
6,2,2,6,2,2,Algeria
310,2,6,302,2,2,Algeria
311,2,4,303,2,2,Algeria
312,2,5,303,2,2,Algeria
659,2,9,602,2,2,Algeria
660,2,7,603,2,2,Algeria
661,2,8,604,2,2,Algeria
971,2,12,888,2,2,Algeria
972,2,10,889,2,2,Algeria
973,2,11,890,2,2,Algeria
1280,2,13,1186,2,2,Algeria
1281,2,15,1187,2,2,Algeria
1282,2,14,1188,2,2,Algeria
1595,2,18,1483,2,2,Algeria
1596,2,16,1484,2,2,Algeria
1597,2,17,1485,2,2,Algeria
1910,2,21,1786,2,2,Algeria
1911,2,19,1787,2,2,Algeria
1912,2,20,1788,2,2,Algeria
2231,2,24,2083,2,2,Algeria
2232,2,22,2084,2,2,Algeria
2233,2,23,2085,2,2,Algeria
2546,2,26,2372,2,2,Algeria
2547,2,25,2373,2,2,Algeria
2548,2,27,2374,2,2,Algeria
2861,2,28,2663,2,2,Algeria
2862,2,29,2664,2,2,Algeria
2863,2,30,2665,2,2,Algeria
3212,2,32,2942,20,2,Algeria
3213,2,32,2943,20,2,Algeria
3214,2,32,2944,20,2,Algeria
3215,2,32,2945,20,2,Algeria
