observationcode,obs_value,observationstatus,data_source,observablecode,countrycode,indicatorcode,observationcode,timecode,countrycode,countryname
1,34.1,Adjusted,"DHS 2015",1,1,1,1,1,1,Afghanistan
2,38.5,Adjusted,"DHS 2015",2,1,2,2,1,1,Afghanistan
3,29.3,Adjusted,"DHS 2015",3,1,3,3,1,1,Afghanistan
299,63.7,Adjusted,"DHS 2015",307,1,4,299,1,1,Afghanistan
300,73.1,Adjusted,"DHS 2015",308,1,5,300,1,1,Afghanistan
301,53.2,Adjusted,"DHS 2015",309,1,6,301,1,1,Afghanistan
599,38.3,Adjusted,"DHS 2015",656,1,7,599,1,1,Afghanistan
600,47.8,Adjusted,"DHS 2015",657,1,8,600,1,1,Afghanistan
601,27.9,Adjusted,"DHS 2015",658,1,9,601,1,1,Afghanistan
885,28,Adjusted,"DHS 2015",968,1,10,885,1,1,Afghanistan
886,37.1,Adjusted,"DHS 2015",969,1,11,886,1,1,Afghanistan
887,18.9,Adjusted,"DHS 2015",970,1,12,887,1,1,Afghanistan
1180,37.2,NA,"DHS 2015",1274,1,13,1180,1,1,Afghanistan
1181,49.3,NA,"DHS 2015",1275,1,14,1181,1,1,Afghanistan
1182,25.6,NA,"DHS 2015",1276,1,15,1182,1,1,Afghanistan
1477,22.9,NA,"DHS 2015",1589,1,16,1477,1,1,Afghanistan
1478,32.3,NA,"DHS 2015",1590,1,17,1478,1,1,Afghanistan
1479,14.4,NA,"DHS 2015",1591,1,18,1479,1,1,Afghanistan
1781,40,NA,"DHS 2015",1904,1,19,1781,1,1,Afghanistan
1782,25.4,NA,"DHS 2015",1905,1,20,1782,1,1,Afghanistan
1783,56.1,NA,"DHS 2015",1906,1,21,1783,1,1,Afghanistan
2077,53.9,NA,"DHS 2015",2225,1,22,2077,1,1,Afghanistan
2078,67.2,NA,"DHS 2015",2226,1,23,2078,1,1,Afghanistan
2079,40.2,NA,"DHS 2015",2227,1,24,2079,1,1,Afghanistan
2366,57.8,NA,"DHS 2015",2540,1,25,2366,1,1,Afghanistan
2367,72.7,NA,"DHS 2015",2541,1,26,2367,1,1,Afghanistan
2368,42.9,NA,"DHS 2015",2542,1,27,2368,1,1,Afghanistan
2658,37,NA,"DHS 2015",2855,1,28,2658,1,1,Afghanistan
2659,47.1,NA,"DHS 2015",2856,1,29,2659,1,1,Afghanistan
2660,27.8,NA,"DHS 2015",2857,1,30,2660,1,1,Afghanistan
2918,30.0664,"Normal value",UIS,3188,1,31,2918,20,1,Afghanistan
2919,46.9901,"Normal value",UIS,3189,1,31,2919,20,1,Afghanistan
2920,65.4205,"Estimated value",UIS,3190,1,31,2920,20,1,Afghanistan
2921,11.1428,"Normal value",UIS,3191,1,32,2921,20,1,Afghanistan
2922,32.1132,"Normal value",UIS,3192,1,32,2922,20,1,Afghanistan
2923,56.2547,"Estimated value",UIS,3193,1,32,2923,20,1,Afghanistan
