timecode,start_project,end_project,observablecode,countrycode,indicatorcode,observationcode,timecode,countrycode,countryname
1,2015,2015,1,1,1,1,1,1,Afghanistan
1,2015,2015,2,1,2,2,1,1,Afghanistan
1,2015,2015,3,1,3,3,1,1,Afghanistan
1,2015,2015,307,1,4,299,1,1,Afghanistan
1,2015,2015,308,1,5,300,1,1,Afghanistan
1,2015,2015,309,1,6,301,1,1,Afghanistan
1,2015,2015,656,1,7,599,1,1,Afghanistan
1,2015,2015,657,1,8,600,1,1,Afghanistan
1,2015,2015,658,1,9,601,1,1,Afghanistan
1,2015,2015,968,1,10,885,1,1,Afghanistan
1,2015,2015,969,1,11,886,1,1,Afghanistan
1,2015,2015,970,1,12,887,1,1,Afghanistan
1,2015,2015,1274,1,13,1180,1,1,Afghanistan
1,2015,2015,1275,1,14,1181,1,1,Afghanistan
1,2015,2015,1276,1,15,1182,1,1,Afghanistan
1,2015,2015,1589,1,16,1477,1,1,Afghanistan
1,2015,2015,1590,1,17,1478,1,1,Afghanistan
1,2015,2015,1591,1,18,1479,1,1,Afghanistan
1,2015,2015,1904,1,19,1781,1,1,Afghanistan
1,2015,2015,1905,1,20,1782,1,1,Afghanistan
1,2015,2015,1906,1,21,1783,1,1,Afghanistan
1,2015,2015,2225,1,22,2077,1,1,Afghanistan
1,2015,2015,2226,1,23,2078,1,1,Afghanistan
1,2015,2015,2227,1,24,2079,1,1,Afghanistan
1,2015,2015,2540,1,25,2366,1,1,Afghanistan
1,2015,2015,2541,1,26,2367,1,1,Afghanistan
1,2015,2015,2542,1,27,2368,1,1,Afghanistan
1,2015,2015,2855,1,28,2658,1,1,Afghanistan
1,2015,2015,2856,1,29,2659,1,1,Afghanistan
1,2015,2015,2857,1,30,2660,1,1,Afghanistan
2,2012,2013,4,2,3,4,2,2,Algeria
2,2012,2013,5,2,1,5,2,2,Algeria
2,2012,2013,6,2,2,6,2,2,Algeria
2,2012,2013,310,2,6,302,2,2,Algeria
2,2012,2013,311,2,4,303,2,2,Algeria
2,2012,2013,312,2,5,303,2,2,Algeria
2,2012,2013,659,2,9,602,2,2,Algeria
2,2012,2013,660,2,7,603,2,2,Algeria
2,2012,2013,661,2,8,604,2,2,Algeria
2,2012,2013,971,2,12,888,2,2,Algeria
2,2012,2013,972,2,10,889,2,2,Algeria
2,2012,2013,973,2,11,890,2,2,Algeria
2,2012,2013,1280,2,13,1186,2,2,Algeria
2,2012,2013,1281,2,15,1187,2,2,Algeria
2,2012,2013,1282,2,14,1188,2,2,Algeria
2,2012,2013,1595,2,18,1483,2,2,Algeria
2,2012,2013,1596,2,16,1484,2,2,Algeria
2,2012,2013,1597,2,17,1485,2,2,Algeria
2,2012,2013,1910,2,21,1786,2,2,Algeria
2,2012,2013,1911,2,19,1787,2,2,Algeria
2,2012,2013,1912,2,20,1788,2,2,Algeria
2,2012,2013,2231,2,24,2083,2,2,Algeria
2,2012,2013,2232,2,22,2084,2,2,Algeria
2,2012,2013,2233,2,23,2085,2,2,Algeria
2,2012,2013,2546,2,26,2372,2,2,Algeria
2,2012,2013,2547,2,25,2373,2,2,Algeria
2,2012,2013,2548,2,27,2374,2,2,Algeria
2,2012,2013,2861,2,28,2663,2,2,Algeria
2,2012,2013,2862,2,29,2664,2,2,Algeria
2,2012,2013,2863,2,30,2665,2,2,Algeria
3,2015,2016,7,3,2,7,3,3,Angola
3,2015,2016,8,3,1,8,3,3,Angola
3,2015,2016,9,3,3,9,3,3,Angola
3,2015,2016,313,3,5,304,3,3,Angola
3,2015,2016,314,3,4,305,3,3,Angola
3,2015,2016,315,3,6,306,3,3,Angola
3,2015,2016,662,3,8,605,3,3,Angola
3,2015,2016,663,3,7,606,3,3,Angola
3,2015,2016,664,3,9,607,3,3,Angola
3,2015,2016,974,3,11,891,3,3,Angola
3,2015,2016,975,3,10,892,3,3,Angola
3,2015,2016,976,3,12,893,3,3,Angola
3,2015,2016,1283,3,14,1189,3,3,Angola
3,2015,2016,1284,3,13,1190,3,3,Angola
3,2015,2016,1285,3,15,1191,3,3,Angola
3,2015,2016,1598,3,17,1486,3,3,Angola
3,2015,2016,1599,3,16,1487,3,3,Angola
3,2015,2016,1600,3,18,1488,3,3,Angola
3,2015,2016,1913,3,20,1789,3,3,Angola
3,2015,2016,1914,3,19,1651,3,3,Angola
3,2015,2016,1915,3,21,1790,3,3,Angola
3,2015,2016,2234,3,23,2086,3,3,Angola
3,2015,2016,2235,3,22,2087,3,3,Angola
3,2015,2016,2236,3,24,2088,3,3,Angola
3,2015,2016,2549,3,27,2375,3,3,Angola
3,2015,2016,2550,3,25,2376,3,3,Angola
3,2015,2016,2551,3,26,2377,3,3,Angola
3,2015,2016,2864,3,30,1349,3,3,Angola
3,2015,2016,2865,3,28,2666,3,3,Angola
3,2015,2016,2866,3,29,2667,3,3,Angola
